Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2021,COG08,Participaciones y Aportaciones,0.00,0.00,x
Aguascalientes,2021,COG81,Participaciones,0.00,0.00,x
Aguascalientes,2021,COG82,Aportaciones,0.00,0.00,x
Aguascalientes,2021,COG83,Convenios,0.00,0.00,x
Aguascalientes,2021,COG09,Deuda Pública,90699925.00,0.00,x
Aguascalientes,2021,COG91,Amortización de la Deuda Pública,0.00,0.00,x
Aguascalientes,2021,COG92,Intereses de la Deuda Pública,0.00,0.00,x
Aguascalientes,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,x
Aguascalientes,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,x
Aguascalientes,2021,COG95,Costo por Coberturas,0.00,0.00,x
Aguascalientes,2021,COG96,Apoyos Financieros,0.00,0.00,x
Aguascalientes,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,90699925.00,0.00,x
Aguascalientes,2021,COGTOT,Total del Gasto,3627997000.00,3816440222.00,x
Apodaca,2021,COG01,Servicios Personales,1062554458.00,1093030121.00,x
Apodaca,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,587998804.00,611654102.30,x
Apodaca,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,29935617.00,32416745.00,x
Apodaca,2021,COG13,Remuneraciones Adicionales y Especiales,112682927.00,118037091.20,x
Apodaca,2021,COG14,Seguridad Social,25713538.00,27649598.85,x
Apodaca,2021,COG15,Otras Prestaciones Sociales y Económicas,294636256.00,291588410.00,x
Apodaca,2021,COG16,Previsiones,0.00,0.00,x
Apodaca,2021,COG17,Pago de Estímulos a Servidores Públicos,11587316.00,11684174.00,x
Apodaca,2021,COG02,Materiales y Suministros,159161583.00,164774993.50,x
Apodaca,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",8125630.00,8824566.65,x
Apodaca,2021,COG22,Alimentos y Utensilios,485525.00,666395.44,x
Apodaca,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,0.00,x
Apodaca,2021,COG24,Materiales y Artículos de Construcción y Reparación,50144787.00,50195352.22,x
Apodaca,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",1956000.00,1428629.12,x
Apodaca,2021,COG26,"Combustibles, Lubricantes y Aditivos",61785156.00,76742750.40,x
Apodaca,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",2716000.00,1580740.95,x
